                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.96757,                0.72248,                 1.0471,                0.92249,                0.84604,                0.90211,                0.50662,                 1.4862,                0.92435,                 1.4439,              0.0004085,              0.0004085,              0.0004085
                     71,                0.92643,                0.68816,                 1.0338,                0.93903,                 0.8256,                0.89677,                0.49864,                 1.4859,                0.90883,                 1.4578,             0.00039613,             0.00039613,             0.00039613
                     72,                0.94288,                0.68374,                 1.0466,                0.93946,                0.80441,                0.89205,                0.51006,                 1.4562,                0.89939,                 1.4192,             0.00038375,             0.00038375,             0.00038375
                     73,                0.97314,                0.70547,                 1.0296,                0.95624,                0.81068,                0.89747,                  0.501,                 1.4531,                0.90879,                 1.3851,             0.00037138,             0.00037138,             0.00037138
                     74,                0.97071,                0.71271,                 1.0565,                0.93221,                 0.8513,                0.90203,                0.50606,                 1.4781,                0.88358,                 1.4327,               0.000359,               0.000359,               0.000359
                     75,                 0.9253,                0.68621,                 1.0159,                0.93633,                0.85668,                 0.8891,                0.51345,                 1.4768,                0.90999,                 1.4438,             0.00034663,             0.00034663,             0.00034663
                     76,                 0.9622,                0.69967,                 1.0702,                0.92705,                 0.8472,                0.88855,                 0.4994,                 1.4822,                0.91127,                  1.429,             0.00033425,             0.00033425,             0.00033425
                     77,                0.93882,                0.68897,                 1.0205,                0.92432,                0.85549,                    0.9,                0.51335,                 1.4542,                0.89413,                 1.4163,             0.00032188,             0.00032188,             0.00032188
                     78,                 0.9048,                0.67317,                 1.0321,                 0.9388,                 0.8337,                0.90589,                 0.5279,                 1.4662,                0.90377,                 1.4152,              0.0003095,              0.0003095,              0.0003095
                     79,                0.90651,                0.66693,                 1.0277,                0.92959,                0.86476,                0.91555,                0.51552,                 1.5036,                 0.8841,                 1.4521,             0.00029713,             0.00029713,             0.00029713
                     80,                0.91312,                0.66897,                 1.0329,                0.93841,                0.86296,                0.91994,                0.53482,                 1.4673,                0.86696,                 1.4373,             0.00028475,             0.00028475,             0.00028475
                     81,                0.87493,                0.67469,                 1.0315,                  0.946,                0.84393,                0.92106,                0.54911,                 1.4395,                0.84411,                 1.4038,             0.00027237,             0.00027237,             0.00027237
                     82,                0.90469,                0.66646,                 1.0349,                 0.9389,                0.86438,                0.92741,                 0.5423,                 1.4413,                0.82451,                 1.3979,                0.00026,                0.00026,                0.00026
                     83,                0.85211,                0.63921,                 1.0067,                0.93452,                0.86704,                0.93079,                0.52951,                  1.475,                 0.8205,                 1.4274,             0.00024762,             0.00024762,             0.00024762
                     84,                0.88458,                0.66875,                 1.0205,                0.92517,                0.86712,                0.91779,                0.51978,                 1.5128,                0.82062,                 1.4501,             0.00023525,             0.00023525,             0.00023525
                     85,                0.87307,                0.65269,                 1.0126,                0.91002,                0.86716,                0.89576,                0.51817,                 1.5246,                0.84159,                 1.4383,             0.00022288,             0.00022288,             0.00022288
                     86,                0.86651,                0.63538,                 1.0328,                0.90775,                0.87428,                0.92221,                0.52146,                 1.5005,                0.81893,                 1.4254,              0.0002105,              0.0002105,              0.0002105
                     87,                0.87469,                0.65875,                   1.02,                0.92816,                0.86654,                0.93131,                0.53498,                 1.5099,                 0.8172,                 1.4385,             0.00019813,             0.00019813,             0.00019813
                     88,                0.88113,                 0.6539,                 1.0177,                0.92664,                0.86857,                0.93356,                0.52446,                 1.5251,                0.81978,                 1.4688,             0.00018575,             0.00018575,             0.00018575
                     89,                0.86582,                0.62492,                 1.0151,                0.91798,                0.88032,                0.93966,                0.52117,                 1.5218,                0.81499,                 1.4668,             0.00017338,             0.00017338,             0.00017338
                     90,                0.81394,                 0.6097,                0.97984,                0.93366,                0.87415,                0.93518,                0.52322,                  1.499,                0.82324,                 1.4431,               0.000161,               0.000161,               0.000161
